"quantCols";"genotype";"biorep"
Intensity 1WT_20_2h_n3_1;WT;wt_n3
Intensity 1WT_20_2h_n3_2;WT;wt_n3
Intensity 1WT_20_2h_n3_3;WT;wt_n3
Intensity 1WT_20_2h_n4_1;WT;wt_n4
Intensity 1WT_20_2h_n4_2;WT;wt_n4
Intensity 1WT_20_2h_n4_3;WT;wt_n4
Intensity 1WT_20_2h_n5_1;WT;wt_n5
Intensity 1WT_20_2h_n5_2;WT;wt_n5
Intensity 1WT_20_2h_n5_3;WT;wt_n5
Intensity 3D8_20_2h_n3_1;D8;d8_n3
Intensity 3D8_20_2h_n3_2;D8;d8_n3
Intensity 3D8_20_2h_n3_3;D8;d8_n3
Intensity 3D8_20_2h_n4_1;D8;d8_n4
Intensity 3D8_20_2h_n4_2;D8;d8_n4
Intensity 3D8_20_2h_n4_3;D8;d8_n4
Intensity 3D8_20_2h_n5_1;D8;d8_n5
Intensity 3D8_20_2h_n5_2;D8;d8_n5
Intensity 3D8_20_2h_n5_3;D8;d8_n5
